Speed,Torque,Ia_RMS,Iq_RMS,Id_RMS,Peak_Current,MechPower,CopperLoss,Torque_Iq_Ratio,Id_Iq_Ratio,Flux_Linkage,Demag_Pct,Demag_Class
510.724109291466,-103.09288156694,143.973835883571,34.8466141073987,200.584252209578,300.583984151112,7991.17165299955,0.627133938140187,0.0001958216301072,2546.1832452281,0.02214845490675,49.2706025956253,Severe
493.53362117205,-101.865734682131,142.28516232709,34.699857649173,198.206460929592,296.302548680586,6685.32436379812,0.612632148633028,0.0021370577057154,11014.9362026665,0.02183,50.0,Severe
1257.08232949457,-95.6634933139441,133.704799267137,35.227273930504,185.749899108074,276.044843515835,755.439576275184,0.540824377861594,0.0122812585841127,741.488635125181,0.02183,50.0,Severe
2045.4114807536,-102.977819113885,143.86682788888,34.8206668915999,200.427894452552,300.397039320412,7849.04420276695,0.626157884235046,0.0002749089321088,301.959978200504,0.02183,50.0,Severe
1900.11713071926,-96.7477236246018,135.068098497363,35.0480717859956,187.746517176261,279.355747864199,1644.01863115592,0.551917095143231,0.0109852186646631,2915.58464133351,0.0223713892760949,48.759987915495,Severe
2896.77977260814,-99.890369109617,139.489643893562,34.65542066908,194.217062026301,289.821096322285,4677.84929833013,0.588898205588194,0.0054769963346197,2543.27260140075,0.02183,50.0,Severe
3494.45248560933,-99.230303062971,138.580321481764,34.6841887726634,192.891836447699,287.974391954441,4033.82539237471,0.581166340869001,0.0065743338827114,618.086169424486,0.02183,50.0,Severe
3418.66677824695,-100.102103864574,139.818971928031,34.6519017961366,194.63805980808,290.666635575208,4886.27114541534,0.591371486444589,0.0051311510908488,308.431793911748,0.0218441085947526,49.9676853074837,Severe
4108.09083434879,-95.4090118102697,133.347606280642,35.2933072190468,185.234779405998,275.071082754935,531.510589482928,0.538003374645917,0.0126748716109253,392.039965953138,0.02183,50.0,Severe
4157.5769339822,-99.0900011165657,138.385095893667,34.6939973869784,192.6070901384,287.280793789601,3897.68651039843,0.579515771377788,0.0068126637766527,349.364186387501,0.0218402927812491,49.9764251460166,Severe
5234.55350259847,-98.0099566328499,136.845759969342,34.819568296862,190.363131730149,283.28518482714,2847.42581951871,0.5666451572931,0.008748039968203,616.92062703862,0.0220903172911921,49.4037625029956,Severe
473.577132054778,-20.4367325699578,182.800960450926,249.683908700471,67.9728841928438,268.141539039466,9665.63235609181,1.01317409766768,0.0817536650102388,0.272160288409477,0.023589640337665,45.9696739861086,Severe
474.286727876039,-20.0519596219143,179.531926760625,245.738845501431,65.9486125194366,263.669781793241,9517.08310013496,0.97950014758271,0.0816682260252651,0.268348727603212,0.023668663319742,45.7886776918415,Severe
1182.90154965212,-20.5708594292408,212.374148511504,287.826122838708,86.8346122921165,336.482397693291,24404.8641740528,1.36755703176224,0.0851687005914039,0.29339282358815,0.0239195473607743,45.2140463564493,Severe
1238.42534225132,-20.1148901629156,202.036755726303,274.665848904337,79.8322704634754,336.4823962053,25954.1047633594,1.23789459428048,0.0866732621887752,0.278899210043765,0.0248998854466733,42.9686544968547,Severe
2077.85030400532,-21.1583921593327,236.347990612346,318.886014886099,101.153265173901,336.482393128929,33776.2364202878,1.69340969887695,0.0901110502457778,0.31700286131559,0.0245906442979023,43.6769484702191,Severe
1962.5304809876,-20.2017663998683,236.363493584945,318.564395192366,100.888539161478,336.482398258139,33036.0793725702,1.68949842942033,0.0873474934049279,0.3164328352786,0.0236847287290736,45.7518810602986,Severe
